Metaphors;Psychotherapy;Podcasts;Subtitles
1;0.006364801715081203;0.0005619443273727095;0.00014101625621299997
2;0.00667527984752419;0.0016858329821181287; 0.0002115243843195
3;0.012574364363940913;0.0002408332831597327;0.0014101625621299998
4; 0.0013195320628826884;0.00016055552210648844;0.00028203251242599995
5;0.0010866734635504494; 0.0002408332831597327;0.0005640650248519999
6;0.0014747711291041813;0.0003211110442129769;0.0007050812810649999
7;0.0045795524535340365;0.0004013888052662211;0.00028203251242599995
8;0.00279430319198687;0.0004013888052662211;0.00028203251242599995
9;0.0009314343973289566; 0.0005619443273727095;7.050812810649999e-05
10;0.0019404883277686596;8.027776105324422e-05;0.00035254064053249996
11;0.0031047813244298554;0.00016055552210648844;0.000423048768639
12;0.0014747711291041813;0.0005619443273727095;0.0002115243843195
13;0.0010866734635504494;0.0; 0.00014101625621299997
14;0.0022509664602116453; 0.002167499548437594;0.0
15;0.0048124110528662755;8.027776105324422e-05; 0.000846097537278
16;0.001785249261547167;0.0006422220884259538;0.0
17;0.0008538148642182102;0.00016055552210648844;0.00028203251242599995
18;0.0012419125297719422;0.0004816665663194654;0.0
19;0.0072962361124101595;0.0020872217873843498;7.050812810649999e-05
20;0.001009053930439703;0.0005619443273727095;0.0004935568967454999
21; 0.0012419125297719422;0.0015252774600116403;0.0002115243843195
